Profile,Adapter,Entity,SourceField,CanonicalField,DataType,Required,Enabled
example-enterprise,GenericDelimited,Contact,interaction_id,SourceContactID,text,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,start_time,ContactStart,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,end_time,ContactEnd,datetime,FALSE,FALSE
example-enterprise,GenericDelimited,Contact,channel,ChannelExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,queue_id,QueueExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,agent_id,AgentExternalID,text,FALSE,FALSE
example-enterprise,GenericDelimited,Contact,direction,Direction,text,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,outcome,Outcome,text,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,wait_seconds,WaitSeconds,number,TRUE,FALSE
example-enterprise,GenericDelimited,Contact,talk_seconds,TalkSeconds,number,FALSE,FALSE
example-enterprise,GenericDelimited,Contact,hold_seconds,HoldSeconds,number,FALSE,FALSE
example-enterprise,GenericDelimited,Contact,acw_seconds,AfterContactSeconds,number,FALSE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,schedule_segment_id,SourceScheduleSegmentID,text,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,operational_id,AgentExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,scheduled_start,ScheduledStart,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,scheduled_end,ScheduledEnd,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,activity_id,ActivityExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,schedule_type,ScheduleTypeExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,paid_flag,PaidFlag,boolean,TRUE,FALSE
example-enterprise,GenericDelimited,ScheduleSegment,productive_flag,ProductiveFlag,boolean,TRUE,FALSE
example-enterprise,GenericDelimited,LoginSession,login_session_id,SourceLoginSessionID,text,TRUE,FALSE
example-enterprise,GenericDelimited,LoginSession,operational_id,AgentExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,LoginSession,login_at,LoginAt,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,LoginSession,logout_at,LogoutAt,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,AgentEvent,agent_event_id,SourceAgentEventID,text,TRUE,FALSE
example-enterprise,GenericDelimited,AgentEvent,operational_id,AgentExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,AgentEvent,event_start,EventStart,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,AgentEvent,event_end,EventEnd,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,AgentEvent,state_id,StateExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,StaffingRequirement,requirement_id,SourceRequirementID,text,TRUE,FALSE
example-enterprise,GenericDelimited,StaffingRequirement,interval_start,IntervalStart,datetime,TRUE,FALSE
example-enterprise,GenericDelimited,StaffingRequirement,activity_id,ActivityExternalID,text,TRUE,FALSE
example-enterprise,GenericDelimited,StaffingRequirement,required_fte,RequiredFTE,number,TRUE,FALSE
example-enterprise,GenericDelimited,StaffingRequirement,version,RequirementVersion,text,FALSE,FALSE
example-enterprise,GenericDelimited,StaffingRequirement,approved,ApprovedFlag,boolean,TRUE,FALSE
